MotID;EinstID;Timastimpill;Upphafsstafir
1;16;2001-02-09 19:49:29.747;JÓV
1;29;2001-02-09 19:49:29.747;ÁM
1;39;2001-02-09 19:49:29.747;ÓHG
1;45;2001-02-09 19:49:29.747;EMÁ
1;76;2001-02-09 19:49:29.747;VGV
1;162;2001-02-09 19:49:29.747;BÞJ
1;208;2001-02-09 19:49:29.747;GÞ
1;233;2001-02-09 19:49:29.747;ÁS
1;258;2001-02-09 19:49:29.747;ESV
1;279;2001-02-09 19:49:29.747;HÞS
1;303;2001-02-09 19:49:29.747;ÁE
1;341;2001-02-09 19:49:29.747;GÁK
1;361;2001-02-09 19:49:29.747;SJE
1;363;2001-02-09 19:49:29.747;FÖÞ
1;372;2001-02-09 19:49:29.747;HIÞ
1;383;2001-02-09 19:49:29.747;IRH
1;417;2001-02-09 19:49:29.747;EJL
1;428;2001-02-09 19:49:29.747;FS
1;496;2001-02-09 19:49:29.747;LGG
1;528;2001-02-09 19:49:29.747;MBG
1;552;2001-02-09 19:49:29.747;GHJ
1;600;2001-02-09 19:49:29.747;NBO
1;650;2001-02-09 19:49:29.747;JD
1;651;2001-02-09 19:49:29.747;ED
2;102;2001-04-26 23:03:15.403;FB
2;218;2001-04-26 21:30:37.640;BK
2;241;2001-04-26 21:38:23.670;HH
2;337;2001-04-27 23:36:22.203;PÓ
2;345;2001-04-23 21:02:21.397;HK
2;353;2001-04-27 23:35:01.593;KGP
2;374;2001-04-23 21:02:42.693;HS
2;381;2001-04-19 10:40:03.323;GGa
2;384;2001-04-23 21:04:54.377;HB
2;455;2001-04-23 21:06:02.480;IA
2;489;2001-04-26 21:40:56.903;MG
2;544;2001-04-23 21:01:39.717;HV
2;545;2001-04-26 23:02:14.320;GG
2;605;2001-04-26 20:55:40.000;HJ
2;678;2001-04-19 10:36:57.853;SAÓ
2;914;2001-04-26 20:55:11.800;GS
2;915;2001-04-26 20:20:58.200;AK
2;916;2001-04-26 21:16:01.953;MP
2;936;2001-04-26 21:12:47.503;SKH
2;942;2001-04-26 20:48:22.737;GSi
2;948;2001-04-26 22:53:54.070;BB
2;951;2001-04-26 20:58:17.297;KVG
2;952;2001-04-26 21:02:02.247;SG
2;953;2001-04-26 21:14:28.423;BÞ
2;955;2001-04-26 21:24:32.407;LG
2;957;2001-04-26 21:29:19.710;ÞG
2;958;2001-04-26 21:33:34.113;SJ
2;960;2001-04-26 21:40:08.487;HHa
2;961;2001-04-26 21:57:18.417;HKá
2;963;2001-04-26 22:00:54.483;AÞM
2;965;2001-04-26 22:47:30.550;AJ
2;967;2001-04-26 22:51:18.457;JH
2;968;2001-04-26 22:52:29.753;MI
2;969;2001-04-26 22:54:54.993;HBB
2;970;2001-04-26 22:55:51.640;HGM
2;971;2001-04-26 22:56:36.613;HM
2;973;2001-04-26 22:59:14.780;LBS
2;974;2001-04-26 23:00:16.507;HE
2;975;2001-04-26 23:04:50.613;EJ
2;984;2001-04-27 23:26:07.027;SM
2;985;2001-04-27 23:44:35.313;BG
3;651;2001-04-22 17:38:06.033;ED
3;678;2001-04-22 19:51:01.943;SAÓ
3;976;2001-04-27 10:56:57.110;SS
6;207;2001-11-14 13:32:00.903;GS
6;241;2001-11-14 13:35:25.437;HH
6;337;2001-11-14 13:30:43.793;PÓ
6;545;2001-11-14 13:29:14.890;GG
6;605;2001-11-14 13:31:12.390;HJ
6;678;2001-11-14 13:30:10.450;SAÓ
6;863;2001-11-14 13:32:22.967;ES
6;905;2001-11-14 13:31:00.950;HV
6;945;2001-11-14 13:31:31.577;GSi
6;951;2001-11-14 13:34:02.433;KVG
6;958;2001-11-14 13:30:24.980;SJ
6;963;2001-11-14 13:35:49.670;AÞM
8;178;2002-01-02 22:07:27.217;SV
17;154;2002-04-13 20:17:18.873;HGB
17;207;2002-04-13 20:40:55.310;GS
17;241;2002-04-13 20:15:16.577;HH
17;266;2002-04-13 20:13:51.653;HGE
17;337;2002-04-13 20:14:57.653;PÓ
17;353;2002-04-13 20:14:23.093;KGP
17;381;2002-04-13 20:10:04.747;GGa
17;455;2002-04-13 23:39:35.090;IA
17;545;2002-04-13 20:13:06.670;GG
17;678;2002-04-13 20:14:05.513;SAÓ
17;967;2002-04-13 23:40:10.543;JH
17;1083;2002-04-13 20:15:43.733;GOS
17;1085;2002-04-13 20:47:12.297;KG
17;1087;2002-04-13 23:45:10.153;ÓG
24;149;2002-11-06 23:20:35.797;GS
24;342;2002-11-06 23:20:08.140;KPE
24;637;2002-11-06 23:22:21.153;BB
24;1235;2002-11-06 23:21:40.810;LáH
24;1236;2002-11-06 23:21:02.170;HÞ
26;270;2002-11-15 22:40:46.910;BJP
26;479;2002-11-15 22:28:11.207;JT
26;621;2002-11-15 22:28:45.330;JÁ
26;1204;2002-11-15 22:31:09.550;ÞM
29;270;2003-01-02 19:27:41.107;BJP
34;54;2003-04-25 09:46:42.560;EG
34;141;2003-04-25 11:22:17.577;SB
34;143;2003-04-25 11:28:02.077;MP
34;185;2003-04-23 14:54:48.797;PBJ
34;258;2003-04-23 14:57:09.577;ESV
34;270;2003-04-25 09:01:43.327;BJP
34;275;2003-04-23 16:09:27.513;SEg
34;316;2003-04-25 11:22:44.407;SE
34;321;2003-04-29 01:44:16.560;HR
34;328;2003-04-23 14:59:50.623;JHV
34;439;2003-04-23 16:10:58.357;MJ
34;469;2003-04-25 11:27:13.513;HÍ
34;563;2003-04-25 09:45:08.810;UÁA
34;588;2003-04-25 09:46:13.920;BJ
34;648;2003-04-25 11:34:54.640;HÁ
34;789;2003-04-23 16:10:01.060;EGu
34;790;2003-04-29 01:31:30.123;ÍS
34;846;2003-04-25 11:26:17.450;SK
34;907;2003-04-25 11:21:40.903;ÞÓ
34;1023;2003-04-25 11:21:23.983;VÞH
34;1026;2003-04-23 14:55:17.453;MA
34;1027;2003-04-25 11:23:06.140;SR
34;1153;2003-04-25 11:21:56.047;GSH
34;1242;2003-04-29 01:30:28.217;HEE
34;1369;2003-04-23 16:12:18.687;KRR
34;1399;2003-04-29 09:08:51.797;DV
34;1412;2003-04-23 16:08:57.170;SJ
34;1414;2003-04-23 14:59:22.077;IPG
34;1415;2003-04-23 15:06:39.043;HG
34;1419;2003-04-25 00:08:01.153;ESS
34;1424;2003-04-25 12:16:58.513;ÞJ
34;1431;2003-04-29 09:42:08.747;HZ
46;1438;2003-10-20 10:35:27.733;JJ
68;15;2005-04-20 11:47:03.437;HG
68;19;2005-04-20 17:00:38.077;ME
68;207;2005-04-20 11:47:48.387;GS
68;218;2005-04-20 16:57:04.437;BK
68;337;2005-04-20 11:41:52.437;PÓ
68;374;2005-04-20 11:44:20.623;HS
68;381;2005-04-20 11:46:47.577;GG
68;456;2005-04-20 11:42:48.343;KH
68;544;2005-04-20 11:46:22.793;HV
68;605;2005-04-20 11:47:15.903;HJ
68;688;2005-04-20 11:47:29.937;KS
68;863;2005-04-20 11:40:48.153;ES
68;928;2005-04-20 11:45:50.873;KMV
68;945;2005-04-20 19:50:40.090;GSi
68;951;2005-04-20 11:42:26.793;KVG
68;952;2005-04-20 11:43:02.123;SG
68;958;2005-04-20 11:48:48.747;SJ
68;961;2005-04-20 11:44:07.793;HKá
68;984;2005-04-20 17:55:18.780;SM
68;995;2005-04-20 11:48:18.030;SÓJ
68;1048;2005-04-20 16:42:10.730;GB
68;1085;2005-04-20 11:45:36.450;KG
68;1227;2005-04-20 16:54:15.373;AMS
68;1256;2005-04-20 16:39:30.700;MSt
68;1338;2005-04-20 11:48:04.437;ÞÁ
68;1461;2005-04-20 11:44:36.233;IA
68;1462;2005-04-20 11:46:10.187;HM
68;1560;2005-04-20 11:45:16.450;BB
68;1574;2005-04-20 16:56:14.217;OS
68;1588;2005-04-20 11:43:33.357;ST
68;1816;2005-04-20 16:57:20.233;HK
68;1896;2005-04-20 17:07:30.797;SH
68;1897;2005-04-20 17:17:37.140;ÞhG
68;1898;2005-04-20 17:19:46.403;KWÓ
68;1899;2005-04-20 17:17:20.763;SS
68;1900;2005-04-20 17:17:02.983;MS
68;1901;2005-04-20 17:21:01.263;JSt
68;1902;2005-04-20 17:23:20.387;LV
68;1903;2005-04-20 17:24:34.780;KJ
68;1904;2005-04-20 17:25:29.000;TA
68;1905;2005-04-20 17:26:43.357;JS
69;630;2005-01-28 19:11:24.150;ÁIG
69;889;2005-01-28 19:07:37.603;HM
69;894;2005-01-28 19:08:45.247;MRE
69;998;2005-01-28 19:10:51.540;KGG
69;1452;2005-01-28 19:08:14.150;ÓÞ
69;1677;2005-01-28 19:07:49.010;AA
84;6;2005-10-01 11:42:01.500;JAH
84;16;2005-10-01 11:36:00.233;JÓV
