LidID;Nafn;Radnumer;LidaTegundID;SyndarLid;Timastimpill;SyndarlidID
18;TUA;NULL;20;0;2000-03-30 11:18:55.853;NULL
19;"Rimar ";A;20;0;2000-03-30 12:24:31.213;NULL
20;UMF Reynir;NULL;21;0;2000-03-30 15:53:33.017;NULL
22;Snæfell;NULL;20;0;2000-03-30 22:01:33.397;NULL
23;Genturnar;1;21;0;2000-03-30 22:01:50.970;NULL
26;Snæfell;A;21;0;2000-03-30 22:09:38.573;NULL
27;Þróttur R;1;20;0;2000-03-30 23:47:16.597;NULL
28;Valur Reyðarfirði;NULL;21;0;2000-03-31 16:10:54.963;NULL
29;Genturnar;2;21;0;2000-04-01 11:18:51.580;NULL
34;Röstin;NULL;21;0;2000-04-02 15:49:57.717;NULL
35;HK;NULL;22;0;2000-04-02 17:32:39.907;NULL
36;UNÞ;NULL;21;0;2000-04-02 18:28:38.687;NULL
37;Honey Bees;NULL;21;0;2000-04-02 20:41:37.507;NULL
38;Broskarlar;NULL;20;0;2000-04-02 20:45:46.567;NULL
39;Sindri;NULL;21;0;2000-04-03 10:12:23.580;NULL
42;Völsungur;A;21;0;2000-04-03 16:37:04.820;NULL
43;Völsungur;B;21;0;2000-04-03 16:47:17.280;NULL
44;Völsungur;C;21;0;2000-04-03 16:54:41.660;NULL
52;ÍK;A;21;0;2000-04-03 19:31:12.143;NULL
53;UNÞ;NULL;20;0;2000-04-03 19:45:00.937;NULL
54;ÍK;B;21;0;2000-04-03 19:58:41.183;NULL
55;Skellur;NULL;21;0;2000-04-03 20:06:50.290;NULL
60;"Óðinn ";NULL;20;0;2000-04-03 22:02:55.483;NULL
61;Óðinn;NULL;22;0;2000-04-03 22:13:16.277;NULL
70;Stjarnan;A;21;0;2000-04-03 22:53:02.457;NULL
71;Þróttur R;2;20;0;2000-04-04 00:23:52.283;NULL
72;Þróttur R;3;20;0;2000-04-04 00:28:54.760;NULL
73;Þróttur R;4;20;0;2000-04-04 00:33:30.577;NULL
75;Völsungur;NULL;20;0;2000-04-04 08:19:20.163;NULL
76;"Völsungur ";NULL;22;0;2000-04-04 08:26:43.083;NULL
79;Rimar;A;21;0;2000-04-04 08:54:33.893;NULL
80;"Rimar ";B;20;0;2000-04-04 09:31:56.940;NULL
84;Lansinn;NULL;21;0;2000-04-04 10:46:13.197;NULL
85;Austri;NULL;21;0;2000-04-04 11:01:31.850;NULL
88;Stjarnan;B;21;0;2000-04-04 11:44:56.493;NULL
89;Bresi;A;21;0;2000-04-04 13:12:29.437;NULL
90;Bresi;B;21;0;2000-04-04 13:44:29.920;NULL
91;Súlur;NULL;21;0;2000-04-04 14:04:21.010;NULL
92;Víkingur R;A;21;0;2000-04-04 14:04:54.150;NULL
93;Rimar;B;21;0;2000-04-04 14:08:04.753;NULL
94;Súlur;NULL;23;0;2000-04-04 14:09:29.153;NULL
95;ÍS;NULL;21;0;2000-04-04 14:37:15.080;NULL
98;Freyjur;NULL;21;0;2000-04-04 15:06:23.113;NULL
102;Freyjur;NULL;23;0;2000-04-04 15:27:19.300;NULL
108;Víkingur Ó;NULL;20;0;2000-04-04 16:16:59.763;NULL
109;Víkingur Ó;NULL;21;0;2000-04-04 16:31:07.173;NULL
110;HK;NULL;21;0;2000-04-04 16:38:14.367;NULL
111;HK;NULL;23;0;2000-04-04 16:44:54.883;NULL
112;Bresi;NULL;23;0;2000-04-04 17:06:37.117;NULL
114;Snæfell;B;21;0;2000-04-04 18:12:37.290;NULL
115;Hvannir;A;21;0;2000-04-04 18:21:34.913;NULL
116;Þróttur N;B;20;0;2000-04-04 18:28:51.720;NULL
118;Þróttur N;A;20;0;2000-04-04 18:38:42.240;NULL
119;Hvannir;B;21;0;2000-04-04 19:01:49.717;NULL
120;Víkingur R;B;21;0;2000-04-04 19:06:30.750;NULL
121;Víkingur R;NULL;23;0;2000-04-04 19:13:27.120;NULL
123;Smellur;NULL;21;0;2000-04-04 19:35:52.363;NULL
124;Óðinn;NULL;21;0;2000-04-04 20:49:54.230;NULL
125;Fylkir;A;21;0;2000-04-04 20:50:48.950;NULL
126;Fylkir;B;21;0;2000-04-04 20:58:46.447;NULL
127;"Skautar ";NULL;20;0;2000-04-04 22:27:12.063;NULL
129;Skautar;NULL;22;0;2000-04-04 22:29:50.453;NULL
131;UMFG;NULL;21;0;2000-04-04 23:01:41.250;NULL
132;Blakendur;NULL;22;0;2000-04-05 08:36:18.053;NULL
135;Þróttur R;1;21;0;2000-04-05 08:46:12.530;NULL
137;Þróttur R;2;21;0;2000-04-05 09:13:52.107;NULL
138;Hamar;NULL;20;0;2000-04-05 09:14:18.223;NULL
139;Þróttur R;NULL;23;0;2000-04-05 09:15:51.277;NULL
140;Hamar;NULL;21;0;2000-04-05 09:26:26.430;NULL
141;Fram;NULL;20;0;2000-04-24 22:30:17.483;NULL
142;ÍS;A;20;0;2000-04-24 22:30:44.380;NULL
143;ÍS;B;20;0;2000-04-24 22:30:54.077;NULL
144;KA;NULL;20;0;2000-04-24 22:31:07.013;NULL
145;Hyrnan;A;20;0;2000-04-24 22:31:15.357;NULL
146;Hyrnan;B;20;0;2000-04-24 22:31:25.230;NULL
147;Hyrnan;NULL;22;0;2000-04-24 22:31:34.203;NULL
148;Bresi;NULL;20;0;2000-04-24 22:31:44.127;NULL
149;Hávörn;NULL;22;0;2000-04-24 22:32:04.577;NULL
151;Eik;NULL;21;0;2000-04-24 22:44:20.603;NULL
152;Eik;NULL;23;0;2000-04-24 22:51:37.260;NULL
153;Skautar;NULL;21;0;2000-04-24 22:51:54.403;NULL
