MotID;LidID;EinstID;Timastimpill
1;27;524;2001-02-09 19:49:31.820
1;37;634;2001-02-09 19:49:31.820
1;39;472;2001-02-09 19:49:31.820
1;52;246;2001-02-09 19:49:31.820
1;53;80;2001-02-09 19:49:31.820
1;54;175;2001-02-09 19:49:31.820
1;55;202;2001-02-09 19:49:31.820
1;60;531;2001-02-09 19:49:31.820
1;61;455;2001-02-09 19:49:31.820
1;71;453;2001-02-09 19:49:31.820
1;72;162;2001-02-09 19:49:31.820
1;73;479;2001-02-09 19:49:31.820
1;79;306;2001-02-09 19:49:31.820
1;85;285;2001-02-09 19:49:31.820
1;89;85;2001-02-09 19:49:31.820
1;91;30;2001-02-09 19:49:31.820
1;91;182;2001-02-09 19:49:31.820
1;93;313;2001-02-09 19:49:31.820
1;95;416;2001-02-09 19:49:31.820
1;98;622;2001-02-09 19:49:31.820
1;102;282;2001-02-09 19:49:31.820
1;110;527;2001-02-09 19:49:31.820
1;111;579;2001-02-09 19:49:31.820
1;112;139;2001-02-09 19:49:31.820
1;115;108;2001-02-09 19:49:31.820
1;119;355;2001-02-09 19:49:31.820
1;123;210;2001-02-09 19:49:31.820
1;125;112;2001-02-09 19:49:31.820
1;126;597;2001-02-09 19:49:31.820
1;127;473;2001-02-09 19:49:31.820
1;144;544;2001-02-09 19:49:31.820
1;149;361;2001-02-09 19:49:31.820
1;153;75;2001-02-09 19:49:31.820
2;19;554;2001-04-27 23:12:31.553
2;27;453;2001-04-26 11:21:59.913
2;36;368;2001-04-07 21:39:25.937
2;37;634;2001-04-07 14:44:21.233
2;38;172;2001-04-07 14:58:49.563
2;39;365;2001-04-05 10:00:51.803
2;42;445;2001-04-17 12:25:24.620
2;52;246;2001-04-13 14:43:08.660
2;53;19;2001-04-16 20:54:08.637
2;54;175;2001-04-13 14:59:24.077
2;55;202;2001-04-06 15:44:45.283
2;61;455;2001-04-14 22:19:35.637
2;72;162;2001-04-26 23:18:57.190
2;73;479;2001-04-10 09:14:43.970
2;79;306;2001-04-04 14:57:42.610
2;85;264;2001-04-25 13:35:04.540
2;89;397;2001-04-10 09:14:40.833
2;90;242;2001-04-10 09:31:45.597
2;93;461;2001-04-07 19:44:32.520
2;94;875;2001-04-17 16:19:43.563
2;98;599;2001-04-11 22:53:17.303
2;102;282;2001-04-11 22:31:11.487
2;112;139;2001-04-10 09:17:23.877
2;118;588;2001-04-14 16:11:59.160
2;125;112;2001-04-13 18:02:16.377
2;126;415;2001-04-13 18:12:34.990
2;127;345;2001-04-25 18:18:20.333
2;145;805;2001-04-14 16:59:51.193
2;148;343;2001-04-26 19:14:33.117
2;168;729;2001-04-07 19:58:00.810
2;351;380;2001-04-11 17:06:52.670
2;352;883;2001-04-17 21:16:45.680
2;354;597;2001-04-13 18:35:58.833
2;356;114;2001-04-14 16:35:02.410
2;360;818;2001-04-25 11:24:15.267
2;361;826;2001-04-26 00:04:14.750
2;363;889;2001-04-17 23:41:23.110
2;363;894;2001-04-19 09:57:25.577
2;406;908;2001-04-20 20:28:08.700
3;27;453;2001-04-10 11:35:18.743
3;71;479;2001-04-10 11:24:55.063
3;125;112;2001-03-30 12:26:22.160
6;19;554;2001-11-13 09:55:32.640
6;60;531;2001-11-13 13:14:11.357
6;72;178;2001-12-11 19:03:30.623
6;79;306;2001-11-15 09:55:48.810
6;98;599;2001-11-12 13:15:11.500
6;125;112;2001-11-07 10:59:41.030
7;27;453;2001-12-11 19:12:52.327
7;71;6;2001-12-11 19:12:25.983
7;72;493;2001-12-11 19:09:44.450
7;110;527;2001-11-16 11:18:59.183
7;351;380;2001-11-21 10:24:09.483
8;27;524;2002-01-01 12:39:48.670
8;52;246;2001-12-18 10:11:02.593
8;54;175;2001-12-18 10:18:37.247
8;73;479;2002-01-01 12:41:34.903
8;90;242;2001-12-18 09:00:16.733
8;112;139;2001-12-18 08:51:43.123
11;52;246;2002-02-27 16:28:51.280
11;54;175;2002-03-02 12:54:19.200
11;71;453;2002-03-03 17:48:11.183
11;354;597;2002-03-01 20:57:39.717
11;583;397;2002-02-28 16:09:13.107
14;71;453;2002-04-16 13:02:44.700
14;72;162;2002-04-16 13:04:08.013
15;23;143;2002-03-29 22:15:59.890
15;27;621;2002-05-01 11:06:39.357
15;29;851;2002-03-29 22:09:10.187
15;34;169;2002-04-15 13:28:31.000
15;37;634;2002-03-07 21:34:39.700
15;38;172;2002-04-02 08:11:50.343
15;39;1034;2002-04-05 09:48:51.810
15;43;869;2002-04-15 23:39:17.843
15;44;485;2002-04-14 15:48:11.810
15;52;246;2002-03-20 11:02:45.810
15;54;175;2002-03-20 11:05:07.543
15;60;209;2002-04-08 22:19:40.343
15;61;455;2002-04-08 22:02:40.420
15;71;453;2002-03-19 13:09:51.123
15;72;162;2002-03-27 12:01:14.607
15;73;217;2002-05-01 11:19:06.123
15;85;533;2002-04-11 19:50:37.560
15;89;397;2002-05-02 10:48:31.653
15;94;715;2002-04-09 16:33:06.373
15;108;506;2002-04-12 12:47:19.730
15;109;269;2002-04-12 12:35:34.763
15;111;579;2002-05-03 10:49:18.437
