MotID;Heiti;Stadur;Upphafsdagur;Lokadagur;LidID;EinstID;Lysing;Timastimpill;ByrjaTimi;EndaTimi;MinuturALeik;Stigaregla;Stada;MaxHrinur;TwitterTag
1;Öld2000;Reykjavík;2000-05-05 00:00:00.000;2000-05-07 00:00:00.000;27;479;25. Öldungamót BLÍ;2001-02-09 19:49:27.643;1899-12-30 08:00:00.000;1899-12-30 22:00:00.000;45;"Öld2000   ";L;NULL;NULL
2;Öldungur 2001;Akureyri;2001-04-28 00:00:00.000;2001-04-30 00:00:00.000;144;545;26. Öldungamót BLÍ;2001-03-07 21:57:51.660;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";L;NULL;NULL
3;Skírdagsmót;Reykjavík;2001-04-12 00:00:00.000;2001-04-12 00:00:00.000;126;618;;2001-03-29 10:53:43.360;1899-12-30 09:00:00.000;1899-12-30 22:00:00.000;30;"BLÍ       ";L;NULL;NULL
6;Haustmót KA;Akureyri;2001-11-16 00:00:00.000;2001-11-17 00:00:00.000;144;921;Haustmót KA, 16. - 17. nóvember. Haldið í KA heimilinu Akureyri;2001-10-31 21:45:52.433;1899-12-30 08:00:00.000;1899-12-30 23:30:00.000;35;"BLÍ       ";G;NULL;NULL
7;Brosmót Aftureldingar;Varmá;2001-11-25 00:00:00.000;2001-11-25 00:00:00.000;156;265;Brosmót Aftureldingar að Varmá 25. nóv. 2001;2001-10-31 23:51:06.577;1899-12-30 10:00:00.000;1899-12-30 23:00:00.000;40;"BLÍ       ";L;NULL;NULL
8;HK trimm;Digranesi;2002-01-05 00:00:00.000;2002-01-06 00:00:00.000;110;157;Hið árlega trimmmót HK -- opið öllum!;2001-12-05 20:00:49.233;1899-12-30 09:00:00.000;1899-12-30 23:00:00.000;30;"BLÍ       ";L;NULL;NULL
9;Áramót 2002;Mosfellsbæ;2002-12-31 00:00:00.000;2002-12-31 00:00:00.000;139;479;Einstaklingsmót öldunga;2001-12-12 11:24:13.780;1899-12-30 10:00:00.000;1899-12-30 14:30:00.000;30;"BLÍ       ";F;3;NULL
10;Dímonarmót;Hvolsvelli;2002-01-26 00:00:00.000;2002-01-26 00:00:00.000;503;889;"Hið árlega Dímonarmót fyrir öldunga í blaki ";2001-12-28 20:54:40.920;1899-12-30 08:00:00.000;1899-12-30 23:00:00.000;45;"BLÍ       ";F;NULL;NULL
11;Bresamót;Akranesi;2002-03-09 00:00:00.000;2002-03-09 00:00:00.000;504;85;Árlegt blakmót Bresa haldið á Akranesi íþróttahúsinu Vesturgötu;2001-12-28 20:59:25.297;1899-12-30 08:00:00.000;1899-12-30 20:00:00.000;30;"BLÍ       ";L;2;NULL
12;Áramót 2000;Kópavogi;2000-12-31 00:00:00.000;2000-12-31 00:00:00.000;137;479;Einstaklingsmót öldunga;2002-01-02 19:46:21.327;1899-12-30 10:00:00.000;1899-12-30 13:30:00.000;45;"BLÍ       ";F;NULL;NULL
