MotID;LidID;EinstID;Timastimpill
1;20;556;2001-02-09 19:49:32.820
1;22;342;2001-02-09 19:49:32.820
1;26;342;2001-02-09 19:49:32.820
1;27;178;2001-02-09 19:49:32.820
1;36;131;2001-02-09 19:49:32.820
1;37;563;2001-02-09 19:49:32.820
1;38;564;2001-02-09 19:49:32.820
1;42;445;2001-02-09 19:49:32.820
1;43;445;2001-02-09 19:49:32.820
1;44;445;2001-02-09 19:49:32.820
1;53;513;2001-02-09 19:49:32.820
1;55;502;2001-02-09 19:49:32.820
1;70;54;2001-02-09 19:49:32.820
1;71;178;2001-02-09 19:49:32.820
1;72;178;2001-02-09 19:49:32.820
1;73;178;2001-02-09 19:49:32.820
1;75;497;2001-02-09 19:49:32.820
1;76;497;2001-02-09 19:49:32.820
1;79;328;2001-02-09 19:49:32.820
1;88;54;2001-02-09 19:49:32.820
1;89;89;2001-02-09 19:49:32.820
1;90;89;2001-02-09 19:49:32.820
1;91;204;2001-02-09 19:49:32.820
1;92;270;2001-02-09 19:49:32.820
1;93;328;2001-02-09 19:49:32.820
1;94;204;2001-02-09 19:49:32.820
1;108;594;2001-02-09 19:49:32.820
1;109;394;2001-02-09 19:49:32.820
1;110;404;2001-02-09 19:49:32.820
1;111;404;2001-02-09 19:49:32.820
1;112;89;2001-02-09 19:49:32.820
1;114;342;2001-02-09 19:49:32.820
1;115;12;2001-02-09 19:49:32.820
1;120;270;2001-02-09 19:49:32.820
1;121;270;2001-02-09 19:49:32.820
1;123;381;2001-02-09 19:49:32.820
1;144;544;2001-02-09 19:49:32.820
1;148;89;2001-02-09 19:49:32.820
1;149;361;2001-02-09 19:49:32.820
1;151;544;2001-02-09 19:49:32.820
1;152;544;2001-02-09 19:49:32.820
1;154;351;2001-02-09 19:49:32.820
1;155;351;2001-02-09 19:49:32.820
2;19;717;2001-04-06 19:52:27.573
2;20;556;2001-04-11 14:00:23.760
2;26;637;2001-04-25 21:55:43.840
2;34;698;2001-04-04 13:37:13.280
2;35;559;2001-04-16 16:41:21.720
2;36;131;2001-04-07 21:38:59.030
2;37;563;2001-04-07 14:44:21.253
2;38;564;2001-04-07 14:53:11.327
2;42;698;2001-04-25 10:22:07.337
2;43;930;2001-04-25 10:20:40.807
2;44;929;2001-04-25 10:19:40.143
2;53;513;2001-04-09 21:14:29.330
2;55;502;2001-04-06 15:44:45.313
2;71;178;2001-04-10 11:03:46.693
2;75;928;2001-04-25 10:18:11.560
2;79;699;2001-04-04 14:59:02.363
